状態,棋士番号,棋士名,段位,生年月日,四段昇段日,五段昇段日,六段昇段日,七段昇段日,八段昇段日,九段昇段日,引退日,タイトル保持者
現役,195,郷田真隆,九段,1971-03-17,1990-04-01,1992-10-01,1995-11-20,1998-04-01,1999-04-01,2001-08-06,,
現役,196,佐藤秀司,八段,1967-06-08,1990-10-01,1994-10-11,1999-07-09,2007-12-10,2020-07-31,,,
現役,197,杉本昌隆,八段,1968-11-13,1990-10-01,1995-12-06,2000-07-11,2006-02-10,2019-02-22,,,
現役,198,藤井猛,九段,1970-09-29,1991-04-01,1994-04-01,1995-04-01,1998-10-01,1999-10-01,2000-10-01,,
現役,199,平藤眞吾,七段,1963-10-15,1991-04-01,1996-03-01,2002-11-05,2011-10-25,,,,
現役,200,豊川孝弘,七段,1967-02-20,1991-10-01,1996-02-27,2002-05-22,2009-03-19,,,,
現役,201,深浦康市,九段,1972-02-14,1991-10-01,1994-08-27,1997-07-22,2001-06-28,2004-04-01,2008-09-26,,
現役,202,真田圭一,八段,1972-10-06,1992-04-01,1994-04-01,1997-10-01,2005-03-01,2016-10-25,,,
現役,203,飯塚祐紀,八段,1969-04-02,1992-04-01,1996-08-05,2001-08-13,2009-10-27,2023-06-07,,,
現役,204,三浦弘行,九段,1974-02-13,1992-10-01,1995-04-01,1996-10-01,2000-04-01,2001-04-01,2013-08-16,,
物故,205,伊藤能,七段,1962-01-16,1992-10-01,,,,,,,
現役,206,川上猛,七段,1972-07-12,1993-04-01,1999-06-03,2005-09-20,2017-10-17,,,,
現役,207,久保利明,九段,1975-08-27,1993-04-01,1995-04-01,1998-11-25,2001-04-01,2003-04-01,2010-03-30,,
現役,208,行方尚史,九段,1973-12-30,1993-10-01,1995-10-01,1999-06-21,2004-04-01,2007-04-01,2019-11-14,,
現役,209,岡崎洋,七段,1967-05-04,1993-10-01,1998-04-01,2004-06-15,2018-02-19,,,,
現役,210,窪田義行,七段,1972-05-18,1994-04-01,1998-08-01,2007-01-22,2016-06-01,,,,
現役,211,北浜健介,八段,1975-12-28,1994-04-01,1996-04-01,1998-04-01,2003-04-01,2013-03-07,,,
現役,212,矢倉規広,七段,1974-09-27,1994-10-01,1999-06-11,2005-07-28,2015-07-01,,,,
現役,213,鈴木大介,九段,1974-07-11,1994-10-01,1997-04-01,1999-10-01,2002-04-01,2003-04-01,2017-03-01,,
現役,214,北島忠雄,七段,1966-01-04,1995-04-01,1999-06-03,2003-10-01,2014-08-14,,,,
現役,215,勝又清和,七段,1969-03-21,1995-04-01,1999-04-01,2007-03-13,2020-04-01,,,,
現役,216,松本佳介,七段,1971-12-17,1995-10-01,2001-01-26,2008-07-01,2022-04-01,,,,
